# MC68020UM.pdf section 8.2.6, MOVE instruction, 506 cells
source,destination,best,cache,worst
"([d32,b],i,d32)","([d16,b],i,d16)",31,34,42
"([d32,b],i,d32)","([d16,b],i,d32)",32,35,45
"([d32,b],i,d32)","([d32,b],i)",33,36,46
"([d32,b],i,d32)","([d32,b],i,d16)",35,38,47
"([d32,b],i,d32)","([d32,b],i,d32)",36,39,49
"([d32,b],i,d32)","(an)",20,23,29
"([d32,b],i,d32)","(an)+",20,23,29
"([d32,b],i,d32)","(b)",25,26,32
"([d32,b],i,d32)","(d16,an)",20,23,31
"([d32,b],i,d32)","(d16,an,xn)",24,27,34
"([d32,b],i,d32)","(d16,b)",25,28,36
"([d32,b],i,d32)","(d32,b)",29,32,41
"([d32,b],i,d32)","(d8,an,xn)",22,25,31
"([d32,b],i,d32)","(xxx).l",22,25,33
"([d32,b],i,d32)","(xxx).w",20,23,31
"([d32,b],i,d32)","-(an)",20,23,29
"([d32,b],i,d32)","an",17,22,27
"([d32,b],i,d32)","dn",17,22,27
"(an)","([b],i)",13,14,12
"(an)","([b],i,d16)",15,16,19
"(an)","([b],i,d32)",16,17,22
"(an)","([d16,b],i)",15,16,19
"(an)","([d16,b],i,d16)",17,18,22
"(an)","([d16,b],i,d32)",18,19,25
"(an)","([d32,b],i)",19,20,24
"(an)","([d32,b],i,d16)",21,22,27
"(an)","([d32,b],i,d32)",22,23,29
"(an)","(an)",6,7,9
"(an)","(an)+",6,7,9
"(an)","(b)",9,10,12
"(an)","(d16,an)",6,7,11
"(an)","(d16,an,xn)",10,11,14
"(an)","(d16,b)",11,12,16
"(an)","(d32,b)",15,16,21
"(an)","(d8,an,xn)",8,9,11
"(an)","(xxx).l",8,9,13
"(an)","(xxx).w",6,7,11
"(an)","-(an)",6,7,9
"(an)","an",3,6,7
"(an)","dn",3,6,7
"(an)+","([b],i)",14,14,12
"(an)+","([b],i,d16)",16,16,19
"(an)+","([b],i,d32)",17,17,22
"(an)+","([d16,b],i)",16,16,19
"(an)+","([d16,b],i,d16)",18,18,22
"(an)+","([d16,b],i,d32)",19,19,25
"(an)+","([d32,b],i)",20,20,24
"(an)+","([d32,b],i,d16)",22,22,27
"(an)+","([d32,b],i,d32)",23,23,29
"(an)+","(an)",7,7,9
"(an)+","(an)+",7,7,9
"(an)+","(b)",10,10,12
"(an)+","(d16,an)",7,7,11
"(an)+","(d16,an,xn)",11,11,14
"(an)+","(d16,b)",12,12,16
"(an)+","(d32,b)",16,16,21
"(an)+","(d8,an,xn)",9,9,11
"(an)+","(xxx).l",9,9,13
"(an)+","(xxx).w",7,7,11
"(an)+","-(an)",7,7,9
"(an)+","an",4,6,7
"(an)+","dn",4,6,7
"(b)","([b],i)",14,17,17
"(b)","([b],i,d16)",16,19,24
"(b)","([b],i,d32)",17,20,27
"(b)","([d16,b],i)",16,19,24
"(b)","([d16,b],i,d16)",18,21,27
"(b)","([d16,b],i,d32)",19,22,30
"(b)","([d32,b],i)",20,23,31
"(b)","([d32,b],i,d16)",22,25,32
"(b)","([d32,b],i,d32)",23,26,34
"(b)","(an)",7,10,14
"(b)","(an)+",7,10,14
"(b)","(b)",10,13,17
"(b)","(d16,an)",7,10,16
"(b)","(d16,an,xn)",11,14,19
"(b)","(d16,b)",12,15,21
"(b)","(d32,b)",16,19,26
"(b)","(d8,an,xn)",9,12,16
"(b)","(xxx).l",9,12,18
"(b)","(xxx).w",7,10,16
"(b)","-(an)",7,10,14
"(b)","an",4,9,12
"(b)","dn",4,9,12
"(d16,an)","([b],i)",13,15,14
"(d16,an)","([b],i,d16)",15,17,21
"(d16,an)","([b],i,d32)",16,18,24
"(d16,an)","([d16,b],i)",15,17,21
"(d16,an)","([d16,b],i,d16)",17,19,24
"(d16,an)","([d16,b],i,d32)",18,20,27
"(d16,an)","([d32,b],i)",19,21,26
"(d16,an)","([d32,b],i,d16)",21,23,29
"(d16,an)","([d32,b],i,d32)",22,24,31
"(d16,an)","(an)",6,8,11
"(d16,an)","(an)+",6,8,11
"(d16,an)","(b)",9,11,14
"(d16,an)","(d16,an)",6,8,13
"(d16,an)","(d16,an,xn)",10,12,16
"(d16,an)","(d16,b)",11,13,18
"(d16,an)","(d32,b)",15,17,23
"(d16,an)","(d8,an,xn)",8,10,13
"(d16,an)","(xxx).l",8,10,15
"(d16,an)","(xxx).w",6,8,13
"(d16,an)","-(an)",6,8,11
"(d16,an)","an",3,7,9
"(d16,an)","dn",3,7,9
"(d16,an,xn)","([b],i)",14,17,17
"(d16,an,xn)","([b],i,d16)",16,19,24
"(d16,an,xn)","([b],i,d32)",17,20,27
"(d16,an,xn)","([d16,b],i)",16,19,24
"(d16,an,xn)","([d16,b],i,d16)",18,21,27
"(d16,an,xn)","([d16,b],i,d32)",19,22,30
"(d16,an,xn)","([d32,b],i)",20,23,31
"(d16,an,xn)","([d32,b],i,d16)",22,25,32
"(d16,an,xn)","([d32,b],i,d32)",23,26,34
"(d16,an,xn)","(an)",7,10,14
"(d16,an,xn)","(an)+",7,10,14
"(d16,an,xn)","(b)",10,13,17
"(d16,an,xn)","(d16,an)",7,10,16
"(d16,an,xn)","(d16,an,xn)",11,14,19
"(d16,an,xn)","(d16,b)",12,15,21
"(d16,an,xn)","(d32,b)",16,19,26
"(d16,an,xn)","(d8,an,xn)",9,12,16
"(d16,an,xn)","(xxx).l",9,12,18
"(d16,an,xn)","(xxx).w",7,10,16
"(d16,an,xn)","-(an)",7,10,14
"(d16,an,xn)","an",4,9,12
"(d16,an,xn)","dn",4,9,12
"(d16,b)","([b],i)",16,19,20
"(d16,b)","([b],i,d16)",18,21,27
"(d16,b)","([b],i,d32)",19,22,30
"(d16,b)","([d16,b],i)",18,21,27
"(d16,b)","([d16,b],i,d16)",20,23,30
"(d16,b)","([d16,b],i,d32)",21,24,33
"(d16,b)","([d32,b],i)",22,25,34
"(d16,b)","([d32,b],i,d16)",24,27,35
"(d16,b)","([d32,b],i,d32)",25,28,37
"(d16,b)","(an)",9,12,17
"(d16,b)","(an)+",9,12,17
"(d16,b)","(b)",12,15,20
"(d16,b)","(d16,an)",9,12,19
"(d16,b)","(d16,an,xn)",13,16,22
"(d16,b)","(d16,b)",14,17,24
"(d16,b)","(d32,b)",18,21,29
"(d16,b)","(d8,an,xn)",11,14,19
"(d16,b)","(xxx).l",11,14,21
"(d16,b)","(xxx).w",9,12,19
"(d16,b)","-(an)",9,12,17
"(d16,b)","an",6,11,15
"(d16,b)","dn",6,11,15
"(d32,b)","([b],i)",20,23,24
"(d32,b)","([b],i,d16)",22,25,31
"(d32,b)","([b],i,d32)",23,26,34
"(d32,b)","([d16,b],i)",22,25,31
"(d32,b)","([d16,b],i,d16)",24,27,34
"(d32,b)","([d16,b],i,d32)",25,28,37
"(d32,b)","([d32,b],i)",26,29,38
"(d32,b)","([d32,b],i,d16)",28,31,39
"(d32,b)","([d32,b],i,d32)",29,32,41
"(d32,b)","(an)",13,16,21
"(d32,b)","(an)+",13,16,21
"(d32,b)","(b)",18,19,24
"(d32,b)","(d16,an)",13,16,23
"(d32,b)","(d16,an,xn)",17,20,26
"(d32,b)","(d16,b)",18,21,28
"(d32,b)","(d32,b)",22,25,33
"(d32,b)","(d8,an,xn)",15,18,23
"(d32,b)","(xxx).l",15,18,25
"(d32,b)","(xxx).w",13,16,23
"(d32,b)","-(an)",13,16,21
"(d32,b)","an",10,15,19
"(d32,b)","dn",10,15,19
"(d8,an,xn)","([b],i)",14,17,16
"(d8,an,xn)","([b],i,d16)",16,19,23
"(d8,an,xn)","([b],i,d32)",17,20,26
"(d8,an,xn)","([d16,b],i)",16,19,23
"(d8,an,xn)","([d16,b],i,d16)",18,21,26
"(d8,an,xn)","([d16,b],i,d32)",19,22,29
"(d8,an,xn)","([d32,b],i)",20,23,30
"(d8,an,xn)","([d32,b],i,d16)",22,25,31
"(d8,an,xn)","([d32,b],i,d32)",23,26,33
"(d8,an,xn)","(an)",7,10,13
"(d8,an,xn)","(an)+",7,10,13
"(d8,an,xn)","(b)",10,13,16
"(d8,an,xn)","(d16,an)",7,10,15
"(d8,an,xn)","(d16,an,xn)",10,14,18
"(d8,an,xn)","(d16,b)",12,15,20
"(d8,an,xn)","(d32,b)",16,19,25
"(d8,an,xn)","(d8,an,xn)",9,12,15
"(d8,an,xn)","(xxx).l",9,12,17
"(d8,an,xn)","(xxx).w",7,10,15
"(d8,an,xn)","-(an)",7,10,13
"(d8,an,xn)","an",4,9,11
"(d8,an,xn)","dn",4,9,11
"(xxx).l","([b],i)",13,14,15
"(xxx).l","([b],i,d16)",15,16,22
"(xxx).l","([b],i,d32)",16,17,25
"(xxx).l","([d16,b],i)",15,16,22
"(xxx).l","([d16,b],i,d16)",17,18,25
"(xxx).l","([d16,b],i,d32)",18,19,28
"(xxx).l","([d32,b],i)",19,20,29
"(xxx).l","([d32,b],i,d16)",21,22,30
"(xxx).l","([d32,b],i,d32)",22,23,32
"(xxx).l","(an)",6,7,12
"(xxx).l","(an)+",6,7,12
"(xxx).l","(b)",9,10,15
"(xxx).l","(d16,an)",6,7,14
"(xxx).l","(d16,an,xn)",10,11,17
"(xxx).l","(d16,b)",11,12,19
"(xxx).l","(d32,b)",15,16,24
